Input,Target
Una abeja tiene 6 patas. ¿Cuántas patas tienen 8 abejas?,X=(6.0*8.0)
Ellen fue a una venta de garaje para comprar sillas. Cada silla costaba 15 dólares. ¿Cuánto dinero gastó Ellen en las 12 sillas que compró?,X=(15.0*12.0)
"Kimberly tiene 5 caramelos. Ella compra 7 más. Más tarde, Kimberly compra 18 naranjas en la tienda. ¿Cuántos caramelos tiene Kimberly en total?",X=(5.0+7.0)
Joshua tiene 40 tapas de botella. Compra 7 más. ¿Cuántas tapas de botella tiene Joshua en total?,X=(40.0+7.0)
"Ernest tiene 45 bananas que deben ser guardadas en cajas. Julie viene a ayudar y trae 3 galletas para compartir con Ernest. Si hay 5 cajas, ¿cuántos plátanos deben ir en cada caja?",X=(45.0/5.0)
"Jenny vendió 24 cajas de Tréboles. ¿Cuántas cajas de 8 cajas, más las cajas extra que Jenny necesita entregar?",X=(24.0/8.0)
Lino recogió 292 proyectiles a la orilla del mar por la mañana y 324 por la tarde. ¿Cuántos proyectiles recogió en total?,X=(292.0+324.0)
Hay 6 caramelos en una pila en el escritorio. Cada caramelo viene en un paquete de 15. 4 caramelos se añaden al montón. ¿Cuántos caramelos hay en el montón?,X=(6.0+4.0)
Juan corrió 80 millas a 10 millas por hora. ¿Cuánto tiempo corrió Juan?,X=(80.0/10.0)
30 perros están ladrando. 10 perros más empiezan a ladrar. ¿Cuántos perros están ladrando?,X=(30.0+10.0)
"Cada chico tiene 5 tapas de botella. Si hay 9 chicos, ¿Cuantas tapas de botellas hay por todo?",X=(5.0*9.0)
Ernest comienza con 17 creyones. Jennifer se lleva 6. ¿Con cuantos creyones termina Ernest?,X=(17.0-6.0)
Había 58 gansos y 37 patos en el pantano. ¿Cuántos pájaros había en total?,X=(58.0+37.0)
"En una escuela, hay 542 niñas y 387 niños. ¿Cuántos alumnos hay en esa escuela?",X=(542.0+387.0)
Janet tiene 3 stickers. She obtiene 53 mas de Ruth. ¿Cuantos stickers tendra Janet en total?,X=(3.0+53.0)
Había 44 niños y 53 niñas en el patio de recreo en el recreo. ¿Cuántos niños había en el patio en total?,X=(44.0+53.0)
Emily corrió a la casa de Timothy. Son 10 millas desde la casa de Emily hasta la casa de Timothy. A Emily le llevó dos horas llegar allí. ¿Qué tan rápido fue Emily?,X=(10.0/2.0)
Hay 37 canastas. Hay 17 manzanas en cada cesta. ¿Cuántas manzanas hay en total?,X=(37.0*17.0)
La Sra. Hilt y su hermana condujeron a un concierto a 78 millas de distancia. Condujeron 32 millas y luego se detuvieron para cargar gasolina. Su hermana puso 28 galones de gasolina en el coche. ¿Cuántas millas les quedaban por conducir?,X=(78.0-32.0)
José tiene 85 cacahuetes. Kenia tiene 48 más que José. ¿Cuántos cacahuetes tiene Kenia?,X=(85.0+48.0)
George tiene 5 cajas de huevos. Cada caja contiene 3 huevos y hay 9 cajas en un estuche. ¿Cuántos huevos tiene George?,X=(5.0*3.0)
Helen comienza con 9 naranjas. Ella obtiene 29 mas de Ann. ¿Con cuantas naranjas termina Helen?,X=(9.0+29.0)
Larry comienza con 91 cartas. 17 son comidas por un hipopotamo. ¿Con cuantas cartas termina Larry?,X=(91.0-17.0)
William tiene dos tapas de botella. Compra 41 más. ¿Cuántas tapas de botella tiene William en total?,X=(2.0+41.0)
Jane comienza con 87 creyones. 7 son comidos por un hipopotamo. ¿Con cuantos creyones termina Jane?,X=(87.0-7.0)
La Sra. Snyder hizo 86 galletas de corazón. Hizo 36 galletas rojas y el resto son rosas. ¿Cuántas galletas rosas hizo?,X=(86.0-36.0)
"Mi coche hace 20 millas por galón de gasolina. Si la casa de la abuela está a 100 millas, ¿cuántos galones de gasolina se necesitan para llegar a su casa?",X=(100.0/20.0)
"El auto de Brian 2019 recorre 20 millas por galón. En su último viaje, usó 3 galones de gasolina. ¿Cuántos kilómetros recorrió en su último viaje?",X=(20.0*3.0)
Patrick corrió a la casa de Aaron. Son 14 millas desde la casa de Patrick hasta la casa de Aaron. Patrick tardó dos horas en llegar allí. ¿Qué tan rápido fue Patrick?,X=(14.0/2.0)
6 estudiantes estaban sentados en cada mesa del comedor. Hay 34 mesas. ¿Cuántos estudiantes estaban sentados en el comedor?,X=(6.0*34.0)
Cada bolsa coontiene 23 kilos de naranja. ¿Cuantos kilos de naranja hay en 23 bolsas?,X=(23.0*45.0)
Una tienda de suministros para mascotas tiene 600 bolsas de comida para perros y 327 bolsas de comida para gatos. ¿Cuántas bolsas más de comida para perros hay que de comida para gatos?,X=(600.0-327.0)
"La Sra. Hilt horneó pasteles el fin de semana pasado para una cena festiva. Ella horneó 16 pasteles de nuez y 14 pasteles de manzana. Si quiere ordenar todas las tartas en filas de 5 tartas cada una, ¿cuántas filas tendrá?",X=(16.0+14.0)
Hay cinco botes en el lago. Cada bote tiene 3 personas. ¿Cuántas personas hay en los botes en el lago?,X=(5.0*3.0)
Marcus tiene 210 tarjetas de béisbol. Tiene 58 más que Carter. ¿Cuántas tarjetas de béisbol tiene Carter?,X=(210.0-58.0)
Hay 96 magdalenas para que 8 niños las compartan. ¿Cuánto recibirá cada persona si comparte los pastelitos en partes iguales?,X=(96.0/8.0)
Jovana tenía 5 libras de conchas en su cubo. Añadió algunas conchas y ahora tiene 28 libras de conchas. ¿Cuántas libras añadió?,X=(28.0-5.0)
Pamela comienza con 30 tapas de botella. Jean se lleva 26. ¿Con cuantas tapas de botellas termina Pamela?,X=(30.0-26.0)
"Clarence tiene 5 naranjas. Y Joyce le da 3 más. Más tarde, Clarence compra 9 caramelos en la tienda. ¿Cuántas naranjas tiene Clarence en total?",X=(5.0+3.0)
Carol empieza con 42 manzanas. Pierde 25. ¿Con cuántas cuadras termina Carol?,X=(42.0-25.0)
 Bryan tiene 50 bolos. Ben tiene 20 M&Ms. ¿Quién tiene más? ¿Cuántos más tiene?,X=(50.0-20.0)
Teresa comienza con 52 bananas. Ella obtiene 2 más de Rachel. ¿Con cuántos plátanos termina Teresa?,X=(52.0+2.0)
Brad tiene 17 globos. 8 globos son rojos y el resto son verdes. ¿Cuántos globos verdes tiene Brad?,X=(17.0-8.0)
"David tiene 8 bananas. Recibe 50 más de Christopher. Más tarde, David compra 9 tarjetas en la tienda. ¿Cuántas bananas tiene David en total?",X=(8.0+50.0)
James se comió 22 palitos de zanahoria antes de la cena y 15 más después de la cena. ¿Cuántos palitos de zanahoria se comió?,X=(22.0+15.0)
"Cada chico 6 tiene. Si hay 2 chicos, ¿Cuantos lapices hay por todo?",X=(6.0*2.0)
Había 150 estantes de libros. Cada estante tenía 15 libros. ¿Cuántos libros había en los estantes?,X=(150.0*15.0)
Una receta de galletas con chispas de chocolate requiere 2 tazas de chispas de chocolate. Quieres hacer 23 recetas para una venta de pasteles. ¿Cuántas tazas de chispas de chocolate se necesitarán para hacer todas las recetas de galletas?,X=(2.0*23.0)
Hay 47 huevos en una caja. Harry toma 5 huevos. ¿Cuantos huevos quedan?,X=(47.0-5.0)
Billy tiene 62 creyones. 52 son comidos por un hipopotamo. ¿Cuantos creyones tendra Billy?,X=(62.0-52.0)
Amanda tardó 5 horas en ir a casa de Kimberly a 2 millas por hora. ¿A qué distancia está la casa de Amanda y la de Kimberly??,X=(5.0*2.0)
Joyce comienza con 75 manzanas. Ella le da 52 a Larry. ¿Con cuantas manzanas termina Joyce?,X=(75.0-52.0)
Anna colecciona 6 bloques. El padre de Anna le da a Anna 8 más. ¿Cuántos bloques tiene Anna?,X=(6.0+8.0)
Patricia comienza con 76 dulces. Albert se lleva 5. ¿Con cuantos dulces termina Patricia?,X=(76.0-5.0)
"Tu clase tuvo una fiesta de pizza. Sobraron 0,375 de una pizza y 0,5 de otra. Pusiste ambas en una caja. ¿Cuánta pizza tienes en total?",X=(0.375+0.5)
"Si Charles caminaba 6 millas a 3 millas por hora, ¿cuánto tiempo viajaba?",X=(6.0/3.0)
Amy empieza con 7 cacahuetes. Gerald le da a Amy 55 más. ¿Con cuántos cacahuetes termina Amy?,X=(7.0+55.0)
Jessica pesa 49 libras. Thomas pesa 44 libras. ¿Cuan mas pesada es Jessica que Thomas?,X=(49.0-44.0)
John camina 0.7 millas a la escuela y Nina camina 0.4 millas a la escuela. ¿Cuánto más lejos camina John que Nina?,X=(0.7-0.4)
La Sra. Sheridan tiene 11 gatos. La Sra. Garrett tiene 24 gatos. ¿Cuántos gatos más tiene la Sra. Garrett que la Sra. Sheridan?,X=(24.0-11.0)
Hay 6 pájaros y 3 nidos. ¿Cuántos pájaros más hay que nidos?,X=(6.0-3.0)
Tessa tiene 4 manzanas. Anita le dio 5 más. Necesita 10 manzanas para hacer un pastel. ¿Tiene suficiente para hacer un pastel?,X=(4.0+5.0)
"Eric tiene 9306 borradores. Si los comparte entre 99 amigos, ¿Cuantos borradores obtendra cada amigo?",X=(9306.0/99.0)
"Betty tiene 24 naranjas guardadas en cajas. Di hay 3 cajas, ¿Cuantas naranjas debe haber en cada caja?",X=(24.0/3.0)
Warren tiene 252 invitados que vienen a su fiesta. Cada mesa tendrá 4 invitados. ¿Cuántas mesas necesitará?,X=(252.0/4.0)
Cada tapa de botella cuenta $2.00. ¿Caunto cuestan 6 tapas de botellas?,X=(2.0*6.0)
Emily recogió los huevos de la gallina y los puso en 303 cestas. Puso 28 huevos en cada cesta. ¿Cuántos huevos recogió Emily?,X=(303.0*28.0)
256 estudiantes van al zoológico. Tienen que ser divididos en grupos para que cada profesor tenga un grupo. Hay 8 profesores. ¿Cuántos estudiantes habrá en cada grupo?,X=(256.0/8.0)
Los chicles vienen en paquetes de 5. Nathan se comió 20 chicles. ¿Cuántas cajas enteras se comió y cuántos chicles le quedan?,X=(20.0/5.0)
"Cada chico toma 3 naranjas. Si hay 4 chicos, ¿Cuantas naranjas hay en total?",X=(3.0*4.0)
Elizabeth esta invitando 5 amigos a una fiesta. Ella tiene 5 galletas. ¿Cuantas galletas obtendra cada amigo?,X=(5.0/5.0)
Lisa alquiló 4 DVDs por $4.80. ¿Cuánto costó el alquiler de cada DVD?,X=(4.8/4.0)
Hay 12 pájaros en la valla. 8 pájaros más aterrizan en la valla. ¿Cuántos pájaros hay en la valla?,X=(12.0+8.0)
Jennifer tiene 72 tarjetas. 61 son comidas por un hipopotamos. ¿Cuantas tarjetas tendra Jennifer?,X=(72.0-61.0)
Daniel tenía unos fideos. Le dio 12 fideos a William. Ahora Daniel sólo tiene 54 fideos. ¿Cuántos fideos tenía Daniel para empezar?,X=(12.0+54.0)
"El cabello de Isabella tiene 18 pulgadas de largo. Si se corta el pelo y ahora lo tiene de 15 centímetros, ¿cuánto pelo de Isabella se cortó?",X=(18.0-9.0)
Paul tenía 28 fresas en su cesta. Recogió 35 fresas más. ¿Cuántas fresas tenía entonces?,X=(28.0+35.0)
Deborah esta invitando 10 amigos a una fiesta. Ella tiene 80 galletas. ¿Cuantas galletas obtendra cada amigo?,X=(80.0/10.0)
"Marilyn tiene 40 bananas que deben ser guardadas en cajas. Daniel viene a ayudar y trae 10 galletas para compartir con Marilyn. Si hay 8 cajas, ¿cuántos plátanos deben ir en cada caja?",X=(40.0/8.0)
"18 niños iban en el autobús. En la parada del autobús, algunos niños más subieron al autobús. Entonces había 25 niños en total en el autobús. ¿Cuántos niños subieron al autobús en la parada?",X=(25.0-18.0)
¿Cuánto costarían 136 piezas de chicle si cada pieza cuesta 18 centavos?,X=(136.0*18.0)
"Si Víctor dividió 25 bolos entre 5 personas de su clase y guardó las sobras, ¿cuántos bolos recibió cada compañero?",X=(25.0/5.0)
Brandon tiene 96 chicles. Bonnie tiene 4 chicles. Pierde 9. ¿Cuántos chicles tendrá Brandon?,X=(96.0-9.0)
"Joe tenía 50 coches de juguete. Si consigue 12 coches más, ¿cuántos coches tendrá entonces?",X=(50.0+12.0)
"Tammy condujo 55 millas en una hora. A ese ritmo, ¿cuánto puede conducir en 36 horas?",X=(55.0*36.0)
Molly tenía 14 velas en su pastel de cumpleaños. Se hizo mayor y puso 6 más en su pastel de cumpleaños. ¿Qué edad tiene Molly ahora?,X=(14.0+6.0)
La patrulla de la basura recogió 10 botellas de vidrio y 8 latas de aluminio el sábado. ¿Cuántas piezas de basura recogieron en total?,X=(10.0+8.0)
William empieza con 15 entradas. Compra 3 más. ¿Con cuántas entradas termina William?,X=(15.0+3.0)
Jane tiene 28 hojas viejas y marrones de papel de dibujo y 27 hojas viejas y amarillas de papel de dibujo. ¿Cuántas hojas de papel de dibujo tiene?,X=(28.0+27.0)
Ted tiene 15 barras de caramelo. Quiere ponerlas en 5 bolsas para que haya el mismo número de barras de caramelo en cada bolsa. ¿Cuántas barras de caramelo deben ir en cada bolsa?,X=(15.0/5.0)
Sean tiene 55 bloques. 29 son comidos por un hipopotamo. ¿Cuantos bloques tendra Sean?,X=(55.0-29.0)
Albert tiene 9 tapas de botella. Anne tiene 10 tapas de botella. Anne encuentra otras 5. ¿Con cuántas tapas de botella termina Anne?,X=(10.0+5.0)
Charles tiene 25 chicles. Diana se lleva 7. ¿Cuantos chicles tendra Charles?,X=(25.0-7.0)
Ethan tiene 31 regalos. Alissa tiene 22 más que Ethan. ¿Cuántos regalos tiene Alissa,X=(31.0+22.0)
"Tommy tenía unos globos. Su madre le regaló 34 globos más para su cumpleaños. Luego, Tommy tuvo 60 globos. ¿Cuántos globos tenía Tommy para empezar?",X=(60.0-34.0)
 elly tenía 56 manzanas. ¿Cuántas manzanas más necesita Kelly para tener 105 manzanas en total?,X=(105.0-56.0)
"La parcela de coles de Albert tiene 12 filas de coles. En cada fila, hay 15 cabezas de col. ¿Cuántas cabezas de col tiene Albert en total?",X=(12.0*15.0)
Gavin tiene 23 camisas. 6 son azules y el resto son verdes. ¿Cuántas camisas verdes tiene Gavin?,X=(23.0-6.0)
Hay 8 manzanas en una pila en el escritorio. Cada manzana viene en un paquete de 11. 5 manzanas se añaden a la pila. ¿Cuántas manzanas hay en la pila?,X=(8.0+5.0)
Bridget pesa 39 libras. Martha pesa 2 libras. ¿Cuan mas pesada es Bridget que Martha?,X=(39.0-2.0)
Hay 96 naranjas en una caja. Jonathan toma 45 naranja. ¿Cuantas quedan?,X=(96.0-45.0)
Sarah recogió 45 manzanas. Su hermano recogió 9 manzanas. ¿Cuántas veces más manzanas recogió Sarah?,X=(45.0/9.0)
"Diana tiene 3840 borradores. Si los comparte entre 48 amigos, ¿Cuantos borradores obtend?",X=(3840.0/48.0)
Roden fue a una tienda de mascotas. Compró 15 peces dorados y 7 azules. ¿Cuántos peces compró?,X=(15.0+7.0)
Henry quiere separar su colecion de creyones en grupos de 6. Henry tine 42 creyones. ¿Cuantos grupos sera creados?,X=(42.0/6.0)
Martha compró 18 pasteles pequeños. Tiene tres hijos. Le gustaría dividir los pasteles entre sus hijos para que cada uno reciba la misma cantidad. ¿Cuántos pasteles recibirá cada niño?,X=(18.0/3.0)
La Sra. Hilt lee 5 libros al día. ¿Cuántos libros lee en 3 días?,X=(5.0*3.0)
"Diane tiene 37 lápices de colores. Ella recibe 5 más de Frances. Más tarde, Diane compra 16 tarjetas en la tienda. ¿Cuántos lápices de colores tiene Diane en total?",X=(37.0+5.0)
Scott tiene 4 entradas. Ernest tiene con 9 entradas. Ernest encuentra otros 72. ¿Con cuántas entradas termina Ernest?,X=(9.0+72.0)
Mikey tenía 356 hojas. Algunas de sus hojas volaron. Ahora le quedan 112 hojas. ¿Cuántas de sus hojas se han volado?,X=(356.0-112.0)
La ciudad de Milburgo tiene 5256 adultos y 2987 niños. ¿Cuántas personas viven en Milburgo?,X=(5256.0+2987.0)
Dan tiene 3 dólares. Compró una barra de caramelo por $1.00. ¿Cuánto dinero queda?,X=(3.0-1.0)
Hay 55 naranjas en una caja. Deborah tiene 11 naranjas en una bolsa. Susan saca 35 naranjas de la caja. ¿Cuántas naranjas quedan en la caja?,X=(55.0-35.0)
Ruby tiene 63 manzanas. Emily se lleva 55. ¿Cuantas manzanas tendra Ruby?,X=(63.0-55.0)
La madre de Cindy ha hecho 1215 galletas. El padre de Paul ha hecho 1112 galletas. Ambos las trajeron a la escuela para una fiesta. ¿Cuántas galletas tenían en total?,X=(1215.0+1112.0)
14 pájaros estaban sentados en un árbol. 21 pájaros más volaron hasta el árbol. ¿Cuántos pájaros había en total en el árbol?,X=(14.0+21.0)
"Cada chico tiene 2 dulces. Si hay 9 chicos, ¿Cuantos chicles hay por todo?",X=(2.0*9.0)
Joseph tiene 67 caramelos. Kathy le da a Joseph 38 mas. ¿Cuantos caramelos tiene Joseph have en total?,X=(67.0+38.0)
Lisa voló 256 millas a 32 millas por hora. ¿Cuánto tiempo voló Lisa?,X=(256.0/32.0)
Hay 64 cerdos en el granero. Algunos más vienen a unirse a ellos. Ahora hay 86 cerdos. ¿Cuántos cerdos vinieron a unirse a ellos?,X=(86.0-64.0)
Sarah tiene 7 cajas de manzanas. Cada caja contiene 7 mazanad. ¿Cuantas manzanas tiene Sarah?,X=(7.0*7.0)
Sean tiene 45 silbidos. Tiene 32 silbatos más que Charles. ¿Cuántos silbatos tiene Charles,X=(45.0-32.0)
Kimberly fue a la tienda 3 veces el mes pasada. Ella compro 7 duraznos cada vez que fue a la tienda. ¿Cuantas duraznos compro Kimberly el mes pasado?,X=(3.0*7.0)
Linda tiene 34 caramelos. Chloe tiene 28. ¿Cuántos caramelos tienen en total?,X=(34.0+28.0)
532 personas están viendo una película en un cine. El teatro tiene 750 asientos. ¿Cuántos asientos están vacíos en el teatro?,X=(750.0-532.0)
Hay 397 mariposas. Cada mariposa tiene 12 puntos negros y 17 amarillos. ¿Cuántos puntos negros hay en total?,X=(397.0*12.0)
Kelly tiene 50 juegos de Nintendo. ¿Cuántos necesita regalar para que le queden 35 juegos?,X=(50.0-35.0)
Carlos comienza con 39 bananas. 3 son comidas por un hipopotamo. ¿Con cuantas bananas termina Carlos?,X=(39.0-3.0)
"Ayer leí 21 páginas de mi libro de inglés. Hoy, leí 17 páginas. ¿Cuál es el número total de páginas que leí?",X=(21.0+17.0)
La madre de Mary se está preparando para la fiesta de cumpleaños de Mary. Ella voló 6 globos esta mañana y 5 globos esta tarde. ¿Cuántos globos ha inflado en total?,X=(6.0+5.0)
Josh tenía 16 canicas en su colección. Perdió 7 canicas. ¿Cuántas canicas tiene ahora?,X=(16.0-7.0)
Connie tenía unas canicas. Le dio 183 a Juan. Ahora le quedan 593 canicas. ¿Con cuántas tenía que empezar?,X=(183.0+593.0)
Un libro de DVDs contiene 126 DVDs. Ya hay 81 DVDs en el libro. ¿Cuántos DVDs más se pueden poner en el libro?,X=(126.0-81.0)
Mark corrió 24 millas a 6 millas por hora. ¿Cuánto tiempo corrió Mark?,X=(24.0/6.0)
"Michelle tiene dos lápices de colores. Janet tiene 2 crayones. Si Janet le da todos sus lápices de colores a Michelle, ¿cuántos lápices de colores tendrá Michelle?",X=(2.0+2.0)
Mary comienza con 27 huevos. Encuentra otros 4. ¿Con cuántos huevos termina María?,X=(27.0+4.0)
"Bobby se comió 26 caramelos. Luego, se comió 17 más. ¿Cuántos caramelos se comió Bobby?",X=(26.0+17.0)
Melissa tiene 70 naranjas. John se lleva 19. ¿Cuantas naranjas tendra Melissa,X=(70.0-19.0)
Annie comienza con 4 crayones. Matthew le da a Annie 36 más. ¿Con cuantos crayones termina Annie?,X=(4.0+36.0)
"Si Teresa corría 25 kilómetros a 5 kilómetros por hora, ¿cuánto tiempo corría Teresa?",X=(25.0/5.0)
Hay 9 cartas. Se añaden 4 cartas más. ¿Cuántas hay en total?,X=(9.0+4.0)
"Joyce tiene 8 huevos. Marie le da a Joyce 6 más. Más tarde, Joyce compra 13 gomas de borrar en la tienda. ¿Cuántos huevos tiene Joyce en total?",X=(8.0+6.0)
Katherine tiene 34 tapas de botellas. 8 son comidas por un hipopotamo. ¿Con cuantas tapas de botellas termina Katherine?,X=(34.0-8.0)
"Hay 5 personas en el equipo de pista de Green Bay High. Si una carrera de relevos es de 150 metros, ¿cuánto tendrá que correr cada miembro del equipo?",X=(150.0/5.0)
"Tengo 648 lápices. Si pongo 4 lápices en cada caja de lápices, ¿cuántas cajas de lápices llenaré?",X=(648.0/4.0)
Jorge marcó 156 goles jugando al fútbol la temporada pasada. Esta temporada ha marcado 187 goles. ¿Cuál es el número total de goles que Jorge marcó?,X=(156.0+187.0)
Brett conducía 55 millas cada hora. ¿Cuántas millas conduciría en 8 horas?,X=(55.0*8.0)
Todd tiene un chicle. Steve le dio 16 piezas más de chicle. Ahora Todd tiene 54 trozos de chicle. ¿Con cuántos pedazos tuvo Todd que empezar?,X=(54.0-16.0)
Misha tiene 34 dólares. ¿Cuántos dólares tiene que ganar para tener 47 dólares para comprar un perro?,X=(47.0-34.0)
